en_test,zh_test,M2M100,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
And this work has been wonderful. It's been great.,这项研究很奇妙，很了不起。,"这个工作是很棒的,很棒的。",30.769,11.323,6.63,4.369,5.128,4.396,76.923,0.143,0.143,0.143,0,0,0,0.125,0.111,0.118,0.699,0.707,0.703
But it also has some fundamental  limitations so far.,但是迄今为止它也还有一些 根本的局限性。,"但到目前为止,它还有一些基本限制。",57.524,35.756,24.747,17.613,18.364,15.74,47.368,0.4,0.4,0.4,0.111,0.111,0.111,0.4,0.4,0.4,0.853,0.874,0.863
"The centerpiece  of the science of consciousness in recent years  has been the search for correlations,  correlations between certain areas of the brain  and certain states of consciousness.",近几年 意识科学研究的核心 是寻找相关性， 关于大脑的特定区域 和特定的意识状态之间的相关性。,"近年来,意识科学的重点是寻找某些脑部和某些意识状态之间的相互关系。",49.238,36.929,30.808,25.636,29.618,25.387,55.814,0.471,0.5,0.485,0.182,0.222,0.2,0.435,0.526,0.476,0.831,0.865,0.848
We saw some of this kind of work  from Nancy Kanwisher and the wonderful work  she presented just a few minutes ago.,我们看了南希·坎维舍 做的一些这方面的研究以及几分钟之前 她刚刚提交的精彩工作。,"我们看到了纳西·坎威舍尔的一些作品,以及她几分钟前所展示的精彩作品。",57.524,39.366,25.824,12.536,17.918,15.358,50,0.5,0.526,0.513,0.095,0.1,0.098,0.455,0.476,0.465,0.797,0.83,0.813
"Now we understand much better, for example,  the kinds of brain areas that go along with  the conscious experience of seeing faces  or of feeling pain  or of feeling happy.",现在我们有了更好的理解，例如， 不同的大脑区域对应着不同 的意识体验：人脸识别 或者感受痛苦 或者感受快乐。,"现在我们更好地了解,例如,与见面或痛苦或快乐的意识体验相伴的脑部区域。",48.393,34.718,24.259,17.184,23.884,20.472,62,0.478,0.579,0.524,0.115,0.143,0.128,0.276,0.364,0.314,0.731,0.792,0.76
But this is still a science of correlations.,但这仍然是关于相关性的科学。,但这仍然是一个相互关系的科学。,73.333,60.553,52.051,43.332,32.648,27.984,28.571,0.778,0.7,0.737,0.625,0.556,0.588,0.778,0.7,0.737,0.868,0.854,0.861
It's not a science of explanations.,这不是意识科学。,这不是解释的科学。,66.667,57.735,45.667,29.847,24.206,20.748,37.5,0.8,0.667,0.727,0.5,0.4,0.444,0.8,0.667,0.727,0.872,0.843,0.857
"We know that these brain areas  go along with certain kinds of conscious experience,  but we don't know why they do.",我们知道这些大脑区域 对应着特定的意识体验， 但是我们不知道为什么会这样。,"我们知道这些大脑区域伴随着某种意识体验,但我们不知道他们为什么这样做。",77.143,65.658,56.762,48.894,40.991,35.135,31.429,0.667,0.667,0.667,0.368,0.368,0.368,0.7,0.7,0.7,0.912,0.906,0.909
"I like to put this by saying  that this kind of work from neuroscience  is answering some of the questions  we want answered about consciousness,  the questions about what certain brain areas do  and what they correlate with.",我想说的是， 神经科学方面的这种研究 正回答着那些 我们想要回答的关于意识、 关于某些特定大脑区域做些什么 以及对应哪种的问题。,"我喜欢这样说,这种神经科学的工作是回答我们想要回答的关于意识的问题,关于某些大脑区域做什么以及它们与什么相关的问题。",69.481,57.92,49.016,41.431,34.519,29.588,49.153,0.6,0.692,0.643,0.294,0.312,0.303,0.571,0.588,0.58,0.836,0.849,0.843
"But in a certain sense, those are the easy problems.",但是从某种意义上来说，这些都是简单的问题。,"但在某种意义上,这些是容易的问题。",60.438,48.87,39.774,32.129,31.487,26.989,38.095,0.538,0.636,0.583,0.25,0.3,0.273,0.538,0.636,0.583,0.88,0.909,0.894
No knock on the neuroscientists.,都不是神经科学家想要研究的。,不要打击神经科学家。,53.626,39.97,34.245,29.614,34.53,29.598,57.143,0.375,0.6,0.462,0.143,0.25,0.182,0.375,0.6,0.462,0.718,0.795,0.755
There are no truly easy problems with consciousness.,没有真正的关于意识的简单问题。,没有真正容易的意识问题。,64.9,52.507,40.086,27.324,29.832,25.57,40,0.75,0.857,0.8,0.25,0.333,0.286,0.667,0.857,0.75,0.833,0.874,0.853
But it doesn't address the real mystery  at the core of this subject:  why is it that all that physical processing in a brain  should be accompanied by consciousness at all?,它没能解开关于这个课题的核心 的真正谜团： 为什么大脑中所有的物理过程 必须伴随着意识？,但它并没有解决这个主题的核心真正的神秘:为什么大脑中的所有物理处理都应该伴随着意识?,66.667,51.006,38.828,30.806,25.696,19.272,43.902,0.591,0.542,0.565,0.217,0.2,0.208,0.542,0.5,0.52,0.879,0.876,0.878
Why is there this inner subjective movie?,为什么会有这种内心的主观电影的存在？,為什麼有這個內在主觀的電影?,32.206,9.648,5.262,3.34,7.143,6.122,77.778,0.2,0.2,0.2,0,0,0,0.182,0.2,0.19,0.836,0.891,0.863
"Right now, we don't really have a bead on that.",目前为止，我们对此还没有一点头绪。,"到目前为止,我们没有真正的打击。",52.842,40.678,28.108,20.015,18.594,15.937,58.824,0.444,0.444,0.444,0,0,0,0.444,0.444,0.444,0.744,0.772,0.758
"And you might say,  let's just give neuroscience a few years.",也许你会说， 让我们再给神经科学几年时间。,"你可以说,让我们给神经科学几年。",63.278,51.267,44.433,38.077,41.899,35.913,40,0.615,0.8,0.696,0.25,0.333,0.286,0.615,0.8,0.696,0.832,0.882,0.856
"It'll turn out to be another emergent phenomenon  like traffic jams, like hurricanes,  like life, and we'll figure it out.",它会被证明是另一种涌现现象， 就像塞车、就像飓风、 就像生命一样，并且我们会弄明白它。,"它将成为另一个新兴的现象,如交通漏洞,如飓风,如生命,我们将发现它。",33.515,22.27,8.576,4.511,9.893,8.48,70.732,0.304,0.412,0.35,0.04,0.048,0.043,0.241,0.292,0.264,0.763,0.795,0.779
"The classical cases of emergence  are all cases of emergent behavior,  how a traffic jam behaves,  how a hurricane functions,  how a living organism reproduces  and adapts and metabolizes,  all questions about objective functioning.",所有涌现现象的经典案例 都是应急行为的表现， 塞车是如何行成的， 飓风是如何作用的， 生物体是如何繁殖、 适应环境和新陈代谢的， 所有这些问题都是关于客观机能的。,"紧急情况的经典案例是所有紧急行为的案例,交通<unk>行为如何,飓风功能如何,活体如何复制和适应和代谢,所有关于客观功能的问题。",49.697,36.348,23.207,16.19,18.439,15.805,57.333,0.448,0.52,0.481,0.103,0.114,0.108,0.356,0.432,0.39,0.772,0.814,0.793
"You could apply that to the human brain  in explaining some of the behaviors  and the functions of the human brain  as emergent phenomena:  how we walk, how we talk, how we play chess,  all these questions about behavior.",你可以把它应用到人类的大脑上 去解释为什么人类大脑的某些行为 和功能 跟涌现现象很像： 我们如何走路，如何谈话，如何下象棋， 所有这些问题都是关于行为的。,"你可以将这一点应用到人类大脑中,解释人类大脑的一些行为和功能作为新兴现象:我们如何走路,我们如何说话,我们如何玩象棋,所有这些关于行为的问题。",70.826,58.241,45.938,36.767,30.331,25.998,40.278,0.556,0.625,0.588,0.279,0.316,0.296,0.556,0.581,0.568,0.856,0.873,0.864
"But when it comes to consciousness,  questions about behavior  are among the easy problems.",但是当谈到意识时， 关于行为的问题 只是一个简单的问题。,"但是,当涉及到意识时,关于行为的问题是简单的问题之一。",81.481,66.238,55.988,47.565,38.496,32.997,30.769,0.714,0.667,0.69,0.357,0.312,0.333,0.75,0.667,0.706,0.909,0.907,0.908
"When it comes to the hard problem,  that's the question of why is it  that all this behavior  is accompanied by subjective experience?",当涉及到困难问题时， 问题就变成了为什么 所有的这些行为 都伴随着主观体验。,"当谈到艰难的问题时,这就是为什么这一切行为都伴随着主观的经历?",56.706,42.75,35.387,28.878,28.83,21.622,51.429,0.476,0.556,0.513,0.238,0.263,0.25,0.409,0.45,0.429,0.828,0.848,0.838
"And here, the standard paradigm  of emergence,  even the standard paradigms of neuroscience,  don't really, so far, have that much to say.",对此，涌现现象 的标准范例， 甚至神经科学的标准范例， 到目前为止都没有太多可以说的。,"在这里,出现的标准范式,即使是神经科学的标准范式,实际上,到目前为止,没有那么多话要说。",52.273,42.702,36.281,31.07,25.509,21.864,57.5,0.389,0.389,0.389,0.15,0.143,0.146,0.375,0.36,0.367,0.828,0.81,0.819
"Now, I'm a scientific materialist at heart.",现在，我本质上是一个科学唯物主义者。,"现在,我是一个科学物质主义者的心脏。",77.778,56.592,43.1,32.144,27.405,23.49,44.444,0.6,0.545,0.571,0.222,0.2,0.211,0.6,0.545,0.571,0.822,0.826,0.824
"I want a scientific theory of consciousness  that works,  and for a long time, I banged my head  against the wall  looking for a theory of consciousness  in purely physical terms  that would work.",我希望某种关于意识的科学理论 能够奏效， 在过去很长一段时间里， 我埋头苦干， 努力寻找一种有效的 单从物理的角度去解释的 关于意识的理论。,"我想要一个科学的意识理论工作,很长一段时间,我把我的头放在墙上,寻找一个纯粹的物理意义上的意识理论,它会工作。",46.312,30.767,19.646,13.882,16.624,14.249,65.625,0.37,0.455,0.408,0.029,0.032,0.031,0.351,0.382,0.366,0.736,0.762,0.749
But I eventually came to the conclusion  that that just didn't work for systematic reasons.,但我最终得出一个结论， 那就是它不起作用只是因为系统性的原因。,"但我最终得出结论,这只是因为系统原因而不起作用。",68.145,58.832,49.668,42.231,43.672,37.433,36.667,0.471,0.615,0.533,0.188,0.25,0.214,0.412,0.538,0.467,0.822,0.883,0.851
"It's a long story,  but the core idea is just that what you get  from purely reductionist explanations in physical terms, in brain-based terms,  is stories about the functioning of a system,  its structure, its dynamics,  the behavior it produces,  great for solving the easy problems —  how we behave, how we function —  but when it comes to subjective experience —  why does all this feel like something from the inside? —",说来话长， 但是这个故事的核心就是 你从在物理方面，在基于大脑方面的 纯粹的还原论者的解释中得到的东西， 是关于一个系统的功能、 它的结构、它的动力、 以及它所产生的行为的， 它可以很好地解决简单问题—— 比如说我们如何表现，我们如何活动—— 但是当它涉及到主观体验时—— 比如说为什么所有这些都感觉像是来自内心的某些东西？——,"这是一个漫长的故事,但核心的想法只是,你从物理上,基于大脑的解释中得到的只是关于一个系统的运作,它的结构,它的动态,它所产生的行为的故事,很适合解决简单的问题 - 我们如何行事,我们如何运作 - 但当涉及到主观的体验 - 为什么这一切都感觉像从里面有什么东西?",55.717,43.823,34.766,27.829,29.607,22.205,50.667,0.532,0.623,0.574,0.227,0.267,0.245,0.448,0.524,0.483,0.78,0.829,0.804
"that's something fundamentally new,  and it's always a further question.",这是一些全新的东西， 并且它总会成为一个更深层次的问题。,"这是一个基本的新事物,它总是另一个问题。",42.281,30.674,19.458,11.116,17.115,14.67,59.259,0.4,0.5,0.444,0.067,0.083,0.074,0.375,0.462,0.414,0.78,0.83,0.804
So I think we're at a kind of impasse here.,因此我想我们进入了僵局。,"因此,我认为我们在这里处于某种模糊状态。",30,17.77,9.573,5.993,6.754,5.789,116.667,0.5,0.333,0.4,0,0,0,0.5,0.333,0.4,0.804,0.731,0.766
"We've got this wonderful, great chain of explanation,  we're used to it, where physics explains chemistry,  chemistry explains biology,  biology explains parts of psychology.",我们已经有了一套美妙的、伟大的解释链， 我们已经习惯了它，那就是用用物理解释化学， 用化学解释生物， 用生物解释部分心理学。,"我们有这个奇妙的,伟大的解释链,我们习惯于它,在那里物理学解释化学,化学解释生物学,生物学解释心理学的部分。",65.835,51.033,36.894,28.154,27.097,23.226,42.373,0.478,0.579,0.524,0.143,0.167,0.154,0.421,0.516,0.464,0.823,0.863,0.843
But consciousness  doesn't seem to fit into this picture.,但是意识 似乎并不符合这种情形。,但意识似乎不适合这个图像。,59.359,41.188,29.794,21.822,21.791,18.678,40,0.444,0.5,0.471,0.125,0.143,0.133,0.444,0.5,0.471,0.87,0.879,0.874
"On the one hand, it's a datum  that we're conscious.",一方面，它是一个已知数 即我们是有意识的。,"一方面,这是一个我们意识到的日期。",59.169,43.126,27.495,15.794,20.237,17.346,55,0.455,0.5,0.476,0,0,0,0.417,0.5,0.455,0.754,0.794,0.773
"On the other hand, we don't know how  to accommodate it into our scientific view of the world.",另一方面，我们却并不知道 如何使它与我们的科学的世界观相适应。,"另一方面,我们不知道如何将其适应我们对世界的科学观。",72.55,56.874,41.082,29.674,29.867,25.601,33.333,0.429,0.4,0.414,0.067,0.067,0.067,0.438,0.438,0.437,0.87,0.898,0.884
"So I think consciousness right now  is a kind of anomaly,  one that we need to integrate  into our view of the world, but we don't yet see how.",所以我认为就目前而言意识 是一种反常事物， 是一种需要我们将它整合到 我们的世界观中，而我们却还不知道如何整合的事物。,"所以我认为现在的意识是一种异常,我们需要把它整合到我们对世界的看法中,但我们还没有看到如何。",55.973,42.444,32.057,25.63,26.756,22.933,51.786,0.571,0.615,0.593,0.206,0.241,0.222,0.472,0.567,0.515,0.819,0.851,0.835
"Faced with an anomaly like this,  radical ideas may be needed,  and I think that we may need one or two ideas  that initially seem crazy  before we can come to grips with consciousness  scientifically. Now, there are a few candidates  for what those crazy ideas might be.",面对这样的反常事物， 我们可能需要一些激进的想法， 并且我认为我们可能需要一两个 在我们可以科学地 面对意识之前 看起来很疯狂的想法。 现在，对于这些疯狂的想法可能是什么,"面对这种异常,可能需要激进的想法,我认为我们可能需要一个或两个想法,最初看起来很疯狂,然后我们可以科学地抓住意识。",51.283,44.633,38.402,33.18,40.651,34.844,53.165,0.548,0.654,0.596,0.282,0.367,0.319,0.378,0.515,0.436,0.811,0.847,0.829
"My friend Dan Dennett, who's here today, has one.",已经有了一些候选项。 我的朋友丹·丹尼特就有一个这样的想法，他今天也在这里。,"我的朋友丹·丹内特,今天在这里,有一个。",36.33,29.983,24.631,19.689,39.566,33.914,59.459,0.458,0.846,0.595,0.231,0.429,0.3,0.333,0.6,0.429,0.72,0.847,0.778
His crazy idea is that there is no hard problem  of consciousness.,他的疯狂想法是关于意识 的困难问题并不存在。,"他的疯狂想法是,没有严重的意识问题。",61.135,49.348,40.087,34.726,35.668,30.573,52.381,0.615,0.727,0.667,0.308,0.364,0.333,0.571,0.667,0.615,0.807,0.833,0.82
The whole idea of the inner subjective movie  involves a kind of illusion or confusion.,整个内心主观电影的想法 涉及一种幻觉或困惑。,整个内在主观电影的想法涉及某种幻觉或混乱。,80.952,72.539,65.182,57.287,48.647,41.698,19.048,0.75,0.75,0.75,0.455,0.455,0.455,0.75,0.75,0.75,0.939,0.939,0.939
"Actually, all we've got to do is explain  the objective functions, the behaviors of the brain,  and then we've explained everything  that needs to be explained.",事实上，我们现在要做的就是解释 客观功能和大脑行为， 然后自然地我们就解释了 所有需要被解释的。,"事实上,我们所要做的就是解释大脑的客观功能、行为,然后我们解释了需要解释的一切。",75.012,59.704,43.582,31.521,32.121,27.532,35.556,0.609,0.778,0.683,0.222,0.261,0.24,0.607,0.708,0.654,0.872,0.911,0.891
"Well I say, more power to him.",我想说，给他更多的能量。,"我说,他有更多的权力。",58.106,32.575,22.081,15.744,15.791,13.535,50,0.636,0.7,0.667,0.2,0.222,0.211,0.636,0.7,0.667,0.784,0.801,0.792
That's the kind of radical idea that we need to explore  if you want to have a purely reductionist  brain-based theory of consciousness.,这就是那种我们需要去探索的 激进想法， 如果你想获得关于意识的 纯还原论者的基于大脑的理论的话。,"这就是我们需要探索的激进思想,如果你想要一个纯粹减少主义的基于大脑的意识理论。",63.756,52.28,42.359,33.551,31.291,26.821,42.222,0.56,0.667,0.609,0.296,0.364,0.327,0.536,0.652,0.588,0.835,0.863,0.849
"At the same time, for me and for many other people,  that view is a bit too close to simply  denying the datum of consciousness  to be satisfactory.",同时，对于我和其他很多人来说， 这个观点有一点太接近于简单地 否认关于意识的已知资料 而不能令人满意。,"与此同时,对于我和许多其他人来说,这个观点有点过近,只是否认意识的日期是满意的。",55.264,41.716,29.718,20.431,22.545,19.324,52.083,0.357,0.5,0.417,0.143,0.182,0.16,0.345,0.435,0.385,0.779,0.826,0.801
So I go in a different direction.,因此我选择了另一个不同的方向。,所以我走在不同的方向。,44.236,39.211,36.216,33.358,40.136,34.403,53.333,0.5,0.625,0.556,0.333,0.429,0.375,0.5,0.625,0.556,0.813,0.876,0.843
"In the time remaining,  I want to explore two crazy ideas  that I think may have some promise.",在余下的时间里， 我想探讨两个我认为可能有希望的 疯狂想法。,"在剩下的时间里,我想探索两个疯狂的想法,我认为可能有一些承诺。",74.194,58.842,45.711,36.138,30.21,25.894,39.286,0.765,0.722,0.743,0.333,0.316,0.324,0.632,0.571,0.6,0.872,0.852,0.861
The first crazy idea  is that consciousness is fundamental.,第一种疯狂想法是 意识是一种基本概念。,"第一個瘋狂的想法是,意識是基本的。",61.009,37.922,20.831,13.209,16.062,13.768,50,0.375,0.3,0.333,0.125,0.091,0.105,0.444,0.333,0.381,0.833,0.847,0.84
Physicists sometimes take some aspects of the universe  as fundamental building blocks:  space and time and mass.,物理学家有时候会把宇宙中的某些方面 作为基本概念，如： 空间、时间和质量。,物理学家有时将宇宙的一些方面视为基本的建筑区块:空间、时间和质量。,68.45,60.199,52.297,44.829,40.485,34.701,34.286,0.5,0.556,0.526,0.263,0.278,0.27,0.5,0.526,0.513,0.886,0.883,0.884
"They postulate fundamental laws governing them,  like the laws of gravity or of quantum mechanics.",他们设定了一些基本定律去管理它们， 例如重力定律和量子力学定律。,"他们提出了统治它们的基本法则,如重力法则或量子机械法则。",41.711,28.857,14.223,8.48,12.083,10.357,64.516,0.333,0.333,0.333,0,0,0,0.312,0.294,0.303,0.829,0.844,0.836
These fundamental properties and laws  aren't explained in terms of anything more basic.,这些基本性质和定律 不能解释一些更基础的东西。,这些基本特性和法律在任何更基本的意义上都没有解释。,52,32.914,21.12,14.385,14.346,12.296,72.727,0.538,0.467,0.5,0.083,0.067,0.074,0.462,0.375,0.414,0.819,0.785,0.801
"Rather, they're taken as primitive,  and you build up the world from there.",这相当于以它们为根本， 然后你在它们的基础上建立这个世界。,"相反,他们被认为是原始的,你从那里建立了世界。",34.983,19.592,11.372,7.375,10.313,8.84,75,0.294,0.333,0.312,0.059,0.067,0.062,0.222,0.25,0.235,0.708,0.726,0.717
"Now sometimes, the list of fundamentals expands.",现在，这张基本定律名单会不时扩大。,"现在,有时,基本的列表正在扩展。",41.099,22.689,11.998,7.474,9.514,8.155,64.706,0.222,0.222,0.222,0,0,0,0.222,0.2,0.211,0.714,0.747,0.73
"In the 19th century, Maxwell figured out  that you can't explain electromagnetic phenomena in terms of the existing fundamentals —  space, time, mass, Newton's laws —  so he postulated fundamental laws  of electromagnetism  and postulated electric charge  as a fundamental element  that those laws govern.",在19世纪，麦克斯韦断定 你无法用当时存在的基本概念—— 空间、时间、质量、牛顿定律—— 去解释电磁现象， 因此他设定了电磁学的 基本定律， 并且设定了电荷 作为这些定律的 基本元素。,"在19世纪,麦克斯威尔想象,你不能在现有基础上解释电磁现象 - 空间,时间,质量,牛顿的法律 - 因此,他提出了电磁主义的基本法则,并提出了电负担作为这些法律统治的基本元素。",60.237,45.354,33.65,24.847,22.785,17.088,50.617,0.514,0.514,0.514,0.178,0.163,0.17,0.375,0.346,0.36,0.833,0.835,0.834
I think that's the situation we're in  with consciousness.,我认为这与我们在研究意识上的 情形是一样的。,我认为这就是我们有意识的情况。,53.626,39.25,25.139,17.26,24.429,20.939,47.619,0.429,0.667,0.522,0.143,0.25,0.182,0.4,0.667,0.5,0.78,0.858,0.817
"If you can't explain consciousness in terms of the existing fundamentals —  space, time, mass, charge —  then as a matter of logic, you need to expand the list.",如果我们不能用现存的基本概念—— 时间、空间、质量、电荷—— 去解释意识， 那么从逻辑上而言，你需要去扩充这张名单。,"如果你无法在现有基础上解释意识 - 空间,时间,质量,负载 - 那么作为逻辑问题,你需要扩展列表。",42.706,29.239,16.84,9.768,14.615,10.961,62.264,0.429,0.522,0.471,0.061,0.074,0.067,0.229,0.286,0.254,0.766,0.811,0.788
"The natural thing to do is to postulate  consciousness itself as something fundamental,  a fundamental building block of nature.",接下来将意识本身设定为 某种根本性的东西， 作为自然界的基本概念就是一件自然而然的事。,"自然要做的是把良心自称为基本的东西,是自然的基本构造块。",33.674,23.426,13.844,7.6,14.532,12.456,70.732,0.158,0.214,0.182,0.05,0.056,0.053,0.19,0.211,0.2,0.709,0.752,0.73
This doesn't mean you suddenly can't do science with it.,这并不意味着突然间你不能用它来研究科学了。,这并不意味着你突然无法用它做科学。,65.087,50.715,37.846,30.954,34.028,29.167,38.095,0.667,0.833,0.741,0.286,0.364,0.32,0.6,0.75,0.667,0.879,0.93,0.904
This opens up the way for you to do science with it.,这反而是为你开僻了一条用它来研究科学的道路。,这为你开辟了科学的道路。,39.838,33.193,28.822,24.268,46.32,39.703,50,0.375,0.75,0.5,0.2,0.429,0.273,0.375,0.75,0.5,0.753,0.902,0.821
"What we then need is to study  the fundamental laws governing consciousness,  the laws that connect consciousness  to other fundamentals: space, time, mass,  physical processes.",然后我们需要做的就是研究 那些掌控着意识的基本定律， 那些将意识与其它基本概念—— 空间、时间、质量、物理过程—— 联系在一起的定律。,"然后我们需要学习统治意识的基本法则,将意识与其他基本元素联系在一起的法则:空间、时间、质量、物理过程。",58.888,53.717,48.82,44.243,47.142,40.407,42.623,0.586,0.68,0.63,0.417,0.5,0.455,0.447,0.548,0.493,0.814,0.878,0.844
Physicists sometimes say  that we want fundamental laws so simple  that we could write them on the front of a t-shirt.,物理学家有时候说 我们希望那些基本定律可以简单到 能够把它们写在T恤上。,"物理学家有时会说,我们想要基本法则如此简单,以至于我们可以把它们写在一件衬衫的前面。",50,39.817,30.273,24.421,20.438,17.518,70.588,0.556,0.455,0.5,0.176,0.13,0.15,0.5,0.375,0.429,0.844,0.796,0.819
Well I think something like that is the situation  we're in with consciousness.,我想我们在对意识的研究上 也应该这样。,"好吧,我认为这样的事情是我们有意识的情况。",42.857,29.277,16.523,10.58,11.353,9.731,88.889,0.385,0.385,0.385,0,0,0,0.308,0.286,0.296,0.686,0.69,0.688
We want to find fundamental laws so simple  we could write them on the front of a t-shirt.,我希望我们发现的关于意识的基本定律也可以简单到 能够把它们写在T恤上。,"我们想找到基本法则如此简单,我们可以把它们写在一件衬衫的前面。",49.78,34.714,22.451,16.458,17.116,14.671,73.529,0.45,0.5,0.474,0.15,0.167,0.158,0.333,0.368,0.35,0.74,0.755,0.747
"We don't know what those laws are yet,  but that's what we're after.",我们现在还不知道这些定律是什么， 但这是我们正在寻找的。,"我们还不知道这些法律是什么,但这就是我们之后的。",69.864,59.033,46.081,35.812,33.636,28.831,33.333,0.688,0.733,0.71,0.353,0.4,0.375,0.667,0.75,0.706,0.842,0.875,0.858
The second crazy idea  is that consciousness might be universal.,第二个疯狂的想法 是意识也许是普通存在的。,"第二個瘋狂的想法是,意識可能是普遍的。",59.92,47.019,33.326,25.74,23.143,19.837,45,0.4,0.364,0.381,0.273,0.25,0.261,0.5,0.462,0.48,0.886,0.902,0.894
Every system might have some degree  of consciousness.,也许每个系统都有某种程度的 意识。,每个系统都有某种程度的意识。,86.688,86.688,86.688,86.688,100,85.714,12.5,0.889,1,0.941,0.875,1,0.933,0.889,1,0.941,0.94,0.986,0.962
"This view is sometimes called panpsychism:  pan for all, psych for mind,  every system is conscious,  not just humans, dogs, mice, flies,  but even Rob Knight's microbes,  elementary particles.",这种观点有时被称作泛心论： 万物皆有精神或心理活动， 每个系统都具有意识， 不仅是人类、狗、老鼠、苍蝇， 甚至连罗伯·奈特的微生物、 基本粒子都具有意识。,"这种观点有时被称为精神主义:面为所有人,精神为头脑,每一个系统都是有意识的,不仅是人类,狗,老鼠,飞翔,甚至是罗伯骑士的微生物,基本粒子。",55.505,45.077,35.949,28.652,24.603,21.088,51.389,0.471,0.516,0.492,0.154,0.146,0.15,0.381,0.381,0.381,0.837,0.838,0.837
Even a photon has some degree of consciousness.,甚至连一个光子都有某种程度的意识。,即使是光子也有某种程度的意识。,64.179,60.09,55.414,52.237,54.487,46.703,35.294,0.6,0.667,0.632,0.444,0.5,0.471,0.6,0.667,0.632,0.867,0.901,0.884
The idea is not that photons are intelligent  or thinking.,这个观点不是说光子是智能的 或者能思考的。,想法不是光子是聪明或思考的。,46.531,37.404,28.35,19.166,25.279,21.668,50,0.5,0.667,0.571,0.25,0.375,0.3,0.462,0.667,0.545,0.763,0.812,0.787
"It's not that a photon  is wracked with angst  because it's thinking, ""Aww, I'm always buzzing around near the speed of light.",不是说一个光子 会由于焦虑而被破坏， 而这种焦虑是因为它想着“哦，我总是以接近光速的速度,"这不是一个光子被恐惧所困扰,因为它想着,“哦,我总是靠近光的速度。",53.06,42.039,31.203,21.93,24.913,21.354,52.381,0.5,0.571,0.533,0.192,0.227,0.208,0.444,0.522,0.48,0.767,0.809,0.787
"I never get to slow down and smell the roses.""",紧张地跑来跑去，从来没有放慢速度来闻一闻玫瑰花香“。,"我永远不会放慢,会闻到玫瑰的气味。",20.787,12.37,6.697,4.216,7.966,6.828,76.923,0.143,0.182,0.16,0,0,0,0.143,0.182,0.16,0.65,0.714,0.68
"No, not like that.",不，事情不是这样子的。,"不,不喜欢那样。",34.364,12.989,7.847,5.368,8.333,7.143,72.727,0.25,0.4,0.308,0,0,0,0.25,0.333,0.286,0.689,0.742,0.714
"But the thought is maybe photons might have  some element of raw, subjective feeling,  some primitive precursor to consciousness.",这种观点想要表达的是也许光子可能会有 一些原始的、主观的体验， 一些原始的意识的前兆。,"但想法是,也许光子可能有某种原始的,主观的感觉,某种原始的意识先驱。",52.666,41.093,33.812,26.69,26.967,23.115,51.22,0.5,0.625,0.556,0.217,0.263,0.238,0.5,0.591,0.542,0.808,0.848,0.827
This may sound a bit kooky to you.,对你来说，这听起来可能有点怪。,这对你可能听起来有点可口可乐。,73.333,51.177,27.21,17.021,19.457,16.677,53.333,0.727,0.889,0.8,0.2,0.25,0.222,0.545,0.667,0.6,0.796,0.774,0.785
"I mean, why would anyone think such a crazy thing?",我的意思是，为什么不可以有人思考这样疯狂的事呢？,"我想,为什么有人会这么疯狂呢?",36.587,23.952,13.429,8.627,17.155,14.704,58.333,0.333,0.5,0.4,0,0,0,0.312,0.5,0.385,0.735,0.841,0.784
"Some motivation comes from the first crazy idea,  that consciousness is fundamental.",有一些动机来自第一个疯狂想法， 即意识是基本概念。,"有些动机源于第一个疯狂的想法,意识是基本的。",70.558,58.092,47.6,37.946,32.803,28.117,33.333,0.538,0.583,0.56,0.167,0.167,0.167,0.538,0.538,0.538,0.874,0.886,0.88
"If it's fundamental, like space and time and mass,  it's natural to suppose that it might be universal too,  the way they are.",如果它是基本概念，就像空间、时间和质量一样， 那么很自然地可以假定它也可能具有普遍性， 就像其它的基本概念一样。,"如果它是基本的,就像空间和时间和质量一样,自然地假设它也可能是普遍的,就像它们一样。",60.834,50.641,41.653,33.459,36.482,31.27,38.889,0.615,0.762,0.681,0.367,0.423,0.393,0.576,0.633,0.603,0.834,0.894,0.863
"It's also worth noting that although the idea  seems counterintuitive to us,  it's much less counterintuitive to people  from different cultures,  where the human mind is seen as much more  continuous with nature.",还有一点值得注意的是虽然这个想法 对我们来说是违反直觉的， 但对来自其他文化的人来说 可能就不是那么违反直觉了， 那些人的心灵 跟自然联系在一起的时间更长。,"值得一提的是,虽然这个想法对我们来说似乎是反直觉的,但对不同文化的人来说却不那么反直觉,在那里人类的头脑与自然相同。",55.912,43.514,34.697,28.963,32.756,28.077,49.315,0.471,0.571,0.516,0.233,0.294,0.26,0.444,0.556,0.494,0.796,0.854,0.824
